EID,PROCOUNT,BS_PROCOUNT,WS_PROCOUNT,BS_RATE
5,22,22,0,1.0
168,1,0,1,0.0
252,2,2,0,1.0
319,1,1,0,1.0
353,3,3,0,1.0
439,3,3,0,1.0
535,1,0,1,0.0
541,2,1,1,0.5
559,1,1,0,1.0
722,2,2,0,1.0
1041,1,1,0,1.0
1052,1,1,0,1.0
1104,1,1,0,1.0
1572,1,1,0,1.0
1653,7,0,7,0.0
1692,1,0,1,0.0
1778,7,5,2,0.7142857142857143
1914,1,1,0,1.0
1964,2,2,0,1.0
2065,2,2,0,1.0
2082,1,0,1,0.0
2090,2,2,0,1.0
2205,1,1,0,1.0
2333,1,1,0,1.0
2403,5,0,5,0.0
2452,2,2,0,1.0
2455,1,1,0,1.0
2491,1,0,1,0.0
2707,5,5,0,1.0
2797,2,2,0,1.0
2806,1,0,1,0.0
2944,1,1,0,1.0
2957,1,0,1,0.0
3220,1,1,0,1.0
3273,1,0,1,0.0
3300,1,0,1,0.0
3524,1,0,1,0.0
3649,1,1,0,1.0
3711,1,1,0,1.0
3743,1,0,1,0.0
3875,3,0,3,0.0
3919,1,1,0,1.0
4224,1,1,0,1.0
4253,1,0,1,0.0
4308,1,1,0,1.0
4458,1,0,1,0.0
4510,8,4,4,0.5
4583,8,2,6,0.25
4595,3,0,3,0.0
4644,1,1,0,1.0
4802,1,1,0,1.0
4877,1,1,0,1.0
5289,10,0,10,0.0
5534,1,1,0,1.0
5666,12,11,1,0.9166666666666666
5697,2,0,2,0.0
5717,3,3,0,1.0
5785,2,0,2,0.0
5836,1,1,0,1.0
5965,1,1,0,1.0
5977,2,2,0,1.0
5986,11,10,1,0.9090909090909091
6076,2,0,2,0.0
6100,10,8,2,0.8
6357,1,1,0,1.0
6397,3,0,3,0.0
6591,1,0,1,0.0
6758,1,0,1,0.0
6824,1,0,1,0.0
7078,1,1,0,1.0
7236,8,8,0,1.0
7602,8,4,4,0.5
7617,1,1,0,1.0
7648,7,1,6,0.14285714285714285
7708,4,4,0,1.0
7805,5,0,5,0.0
7905,4,0,4,0.0
7965,1,0,1,0.0
8025,1,1,0,1.0
8158,1,1,0,1.0
8287,1,1,0,1.0
8323,1,0,1,0.0
8471,1,1,0,1.0
8721,1,0,1,0.0
8755,4,4,0,1.0
8768,17,5,12,0.29411764705882354
8793,1,1,0,1.0
8860,1,1,0,1.0
8883,1,1,0,1.0
8909,1,1,0,1.0
8983,3,3,0,1.0
9006,4,2,2,0.5
9155,1,0,1,0.0
9176,1,0,1,0.0
9358,1,0,1,0.0
9366,1,1,0,1.0
9751,1,1,0,1.0
9988,17,5,12,0.29411764705882354
10126,3,2,1,0.6666666666666666
10208,1,1,0,1.0
10253,2,2,0,1.0
10275,20,10,10,0.5
10367,1,1,0,1.0
10399,1,1,0,1.0
10485,1,0,1,0.0
10567,1,1,0,1.0
10663,1,0,1,0.0
10828,24,24,0,1.0
11055,1,1,0,1.0
11119,1,0,1,0.0
11285,2,0,2,0.0
11317,1,0,1,0.0
11396,16,16,0,1.0
11693,2,2,0,1.0
11848,1,0,1,0.0
11860,3,0,3,0.0
11897,16,15,1,0.9375
12072,1,1,0,1.0
12089,11,11,0,1.0
12127,2,2,0,1.0
12168,1,0,1,0.0
12322,2,2,0,1.0
12335,2,2,0,1.0
12563,7,0,7,0.0
12665,11,2,9,0.18181818181818182
12763,1,0,1,0.0
12824,1,0,1,0.0
12928,1,0,1,0.0
12941,1,0,1,0.0
12946,3,0,3,0.0
13017,2,2,0,1.0
13120,3,1,2,0.3333333333333333
13125,1,1,0,1.0
13130,2,2,0,1.0
13153,1,1,0,1.0
13428,1,1,0,1.0
13452,2,0,2,0.0
13478,1,1,0,1.0
13505,1,1,0,1.0
13537,1,1,0,1.0
13600,1,1,0,1.0
13905,3,3,0,1.0
13922,1,1,0,1.0
14040,1,1,0,1.0
14134,1,1,0,1.0
14174,1,0,1,0.0
14175,1,1,0,1.0
14317,2,0,2,0.0
14321,1,1,0,1.0
14439,1,1,0,1.0
14460,5,5,0,1.0
14474,1,1,0,1.0
14932,15,0,15,0.0
14996,1,0,1,0.0
15049,22,22,0,1.0
15101,1,1,0,1.0
15360,2,2,0,1.0
15513,30,30,0,1.0
15750,3,0,3,0.0
15757,1,1,0,1.0
15778,1,0,1,0.0
15833,8,8,0,1.0
16156,1,1,0,1.0
16453,2,2,0,1.0
16706,1,1,0,1.0
16740,1,1,0,1.0
16876,6,0,6,0.0
16893,1,1,0,1.0
17085,3,3,0,1.0
17197,1,1,0,1.0
17515,15,11,4,0.7333333333333333
17607,1,1,0,1.0
17837,1,1,0,1.0
17846,12,12,0,1.0
17854,1,1,0,1.0
17922,1,1,0,1.0
17985,1,1,0,1.0
18017,1,1,0,1.0
18021,40,10,30,0.25
18067,3,1,2,0.3333333333333333
18078,550,292,258,0.5309090909090909
18105,1,0,1,0.0
18124,2,2,0,1.0
18379,7,2,5,0.2857142857142857
18480,20,0,20,0.0
18534,3,0,3,0.0
18656,2,0,2,0.0
18707,4,1,3,0.25
18739,1,0,1,0.0
18834,5,1,4,0.2
19103,1,1,0,1.0
19235,1,1,0,1.0
19238,5,5,0,1.0
19347,1,1,0,1.0
19397,1,0,1,0.0
19549,1,1,0,1.0
19661,2,2,0,1.0
19673,5,5,0,1.0
19855,2,2,0,1.0
19868,12,8,4,0.6666666666666666
19874,5,5,0,1.0
19948,1,1,0,1.0
19957,1,1,0,1.0
19978,2,2,0,1.0
20067,2,2,0,1.0
20146,50,12,38,0.24
20211,5,0,5,0.0
20226,6,5,1,0.8333333333333334
20232,2,2,0,1.0
20233,2,2,0,1.0
20296,1,0,1,0.0
20339,5,1,4,0.2
20400,143,53,90,0.3706293706293706
20609,1,1,0,1.0
20689,1,1,0,1.0
20731,2,2,0,1.0
20807,4,2,2,0.5
20818,1,0,1,0.0
20866,6,3,3,0.5
20938,1,0,1,0.0
20980,1,1,0,1.0
21035,1,1,0,1.0
21067,1,1,0,1.0
21200,1,1,0,1.0
21240,1,0,1,0.0
21271,1,1,0,1.0
21743,1,1,0,1.0
21851,1,1,0,1.0
21961,1,1,0,1.0
21967,1,0,1,0.0
22048,1,1,0,1.0
22055,1,1,0,1.0
22136,1,1,0,1.0
22250,1,1,0,1.0
22517,2,1,1,0.5
22593,2,2,0,1.0
22683,2,2,0,1.0
22720,3,0,3,0.0
22835,2,1,1,0.5
22866,1,0,1,0.0
22898,3,0,3,0.0
22931,24,12,12,0.5
23221,2,2,0,1.0
23582,3,3,0,1.0
23811,2,0,2,0.0
23880,1,1,0,1.0
23892,3,3,0,1.0
24063,1,1,0,1.0
24103,6,0,6,0.0
24210,3,3,0,1.0
24321,1,1,0,1.0
24365,1,0,1,0.0
24691,5,5,0,1.0
24711,8,0,8,0.0
24754,13,9,4,0.6923076923076923
24810,1,1,0,1.0
24978,1,0,1,0.0
25070,1,0,1,0.0
25084,6,6,0,1.0
25143,3,3,0,1.0
25337,3,2,1,0.6666666666666666
25454,1,0,1,0.0
25463,5,5,0,1.0
25693,1,0,1,0.0
25854,2,2,0,1.0
26083,5,5,0,1.0
26189,10,10,0,1.0
26192,1,0,1,0.0
26224,1,0,1,0.0
26268,10,8,2,0.8
26348,3,2,1,0.6666666666666666
26427,2,1,1,0.5
26429,2,2,0,1.0
26565,1,1,0,1.0
26737,1,1,0,1.0
26771,1,1,0,1.0
26796,2,2,0,1.0
26821,6,6,0,1.0
27011,1,1,0,1.0
27023,1,1,0,1.0
27235,3,2,1,0.6666666666666666
27413,1,1,0,1.0
27467,3,0,3,0.0
27497,5,0,5,0.0
27560,1,1,0,1.0
27562,3,2,1,0.6666666666666666
27828,2,1,1,0.5
27945,3,3,0,1.0
28059,24,22,2,0.9166666666666666
28165,1,1,0,1.0
28242,2,2,0,1.0
28280,12,1,11,0.08333333333333333
28310,2,0,2,0.0
28348,1,1,0,1.0
28352,1,1,0,1.0
28368,2,1,1,0.5
28392,1,1,0,1.0
28610,1,0,1,0.0
28618,1,0,1,0.0
28681,3,3,0,1.0
28819,1,1,0,1.0
28893,6,1,5,0.16666666666666666
28929,4,4,0,1.0
28939,1,1,0,1.0
29041,2,2,0,1.0
29093,114,111,3,0.9736842105263158
29151,4,4,0,1.0
29177,6,6,0,1.0
29361,98,60,38,0.6122448979591837
29399,19,5,14,0.2631578947368421
29416,4,4,0,1.0
29512,1,0,1,0.0
29642,1,1,0,1.0
29665,17,12,5,0.7058823529411765
29668,3,3,0,1.0
29700,2,2,0,1.0
29731,1,0,1,0.0
29810,1,1,0,1.0
29832,2,2,0,1.0
29895,2,2,0,1.0
29915,1,1,0,1.0
30117,1,1,0,1.0
30283,1,1,0,1.0
30365,7,7,0,1.0
30470,82,57,25,0.6951219512195121
30785,1,0,1,0.0
30953,1,1,0,1.0
30959,1,1,0,1.0
31040,3,1,2,0.3333333333333333
31241,2,2,0,1.0
31541,1,1,0,1.0
31979,1,1,0,1.0
32159,15,0,15,0.0
32180,2,2,0,1.0
32186,2,0,2,0.0
32422,3,3,0,1.0
32476,3,3,0,1.0
32496,1,1,0,1.0
32512,5,5,0,1.0
32713,1,1,0,1.0
32722,32,18,14,0.5625
32732,8,4,4,0.5
32826,2,1,1,0.5
32929,2,2,0,1.0
33306,1,1,0,1.0
33334,1,0,1,0.0
33424,3,3,0,1.0
33577,2,0,2,0.0
33635,1,1,0,1.0
33787,1,0,1,0.0
33873,17,3,14,0.17647058823529413
33882,3,0,3,0.0
34070,4,0,4,0.0
34083,8,8,0,1.0
34175,8,3,5,0.375
34204,1,1,0,1.0
34316,1,1,0,1.0
34319,1,1,0,1.0
34414,1,0,1,0.0
34664,1,0,1,0.0
34749,2,2,0,1.0
34855,2,0,2,0.0
34857,1,1,0,1.0
34895,9,9,0,1.0
35098,1,0,1,0.0
35186,3,3,0,1.0
35235,3,3,0,1.0
35990,21,15,6,0.7142857142857143
36539,4,0,4,0.0
36546,2,0,2,0.0
36814,12,6,6,0.5
36972,8,1,7,0.125
36997,1,1,0,1.0
37033,1,1,0,1.0
37246,1,1,0,1.0
37295,22,14,8,0.6363636363636364
37298,1,1,0,1.0
37687,2,0,2,0.0
37803,3,2,1,0.6666666666666666
37804,11,11,0,1.0
37843,1,0,1,0.0
37963,1,1,0,1.0
37971,1,1,0,1.0
38037,1,1,0,1.0
38043,1,1,0,1.0
38063,1,0,1,0.0
38087,9,6,3,0.6666666666666666
38160,1,1,0,1.0
38273,27,25,2,0.9259259259259259
38341,1,1,0,1.0
38447,24,6,18,0.25
38611,9,9,0,1.0
38724,2,0,2,0.0
39001,1,1,0,1.0
39061,2,2,0,1.0
39228,39,21,18,0.5384615384615384
39238,1,0,1,0.0
39308,130,102,28,0.7846153846153846
39372,1,1,0,1.0
39458,2,2,0,1.0
39489,1,1,0,1.0
39520,75,75,0,1.0
39598,1,1,0,1.0
39623,1,0,1,0.0
39771,2,0,2,0.0
39863,1,1,0,1.0
39870,2,0,2,0.0
39896,1,0,1,0.0
39928,1,0,1,0.0
39992,3,0,3,0.0
40121,1,1,0,1.0
40324,1,1,0,1.0
40381,1,1,0,1.0
40433,4,0,4,0.0
40477,3,0,3,0.0
40496,2,0,2,0.0
40524,1,1,0,1.0
40560,1,1,0,1.0
40682,1,1,0,1.0
41021,2,0,2,0.0
41209,2,0,2,0.0
41220,5,5,0,1.0
41328,5,0,5,0.0
41415,1,1,0,1.0
41451,3,3,0,1.0
41580,1,1,0,1.0
41820,1,0,1,0.0
41869,1,1,0,1.0
41893,62,0,62,0.0
42045,1,1,0,1.0
42089,1,0,1,0.0
42336,3,2,1,0.6666666666666666
42369,1,0,1,0.0
42577,81,81,0,1.0
42634,1,1,0,1.0
43114,1,1,0,1.0
43139,1,0,1,0.0
43162,1,0,1,0.0
43217,1,1,0,1.0
43517,3,2,1,0.6666666666666666
43623,1,0,1,0.0
43632,2,2,0,1.0
43659,3,3,0,1.0
43666,1,1,0,1.0
44016,3,2,1,0.6666666666666666
44259,1,1,0,1.0
44397,5,5,0,1.0
44425,1,1,0,1.0
44435,1,1,0,1.0
44472,3,2,1,0.6666666666666666
44595,4,0,4,0.0
44836,1,1,0,1.0
45016,2,0,2,0.0
45148,1,1,0,1.0
45211,1,0,1,0.0
45257,1,1,0,1.0
45351,19,13,6,0.6842105263157895
45407,1,1,0,1.0
45426,2,0,2,0.0
45594,1,0,1,0.0
45901,7,7,0,1.0
45964,2,0,2,0.0
45992,1,1,0,1.0
46071,25,5,20,0.2
46097,3,2,1,0.6666666666666666
46257,2,2,0,1.0
46262,16,3,13,0.1875
46288,2,2,0,1.0
46303,2,0,2,0.0
46304,4,0,4,0.0
46317,3,1,2,0.3333333333333333
46430,1,1,0,1.0
46592,7,7,0,1.0
46674,3,3,0,1.0
46709,4,4,0,1.0
46775,3,3,0,1.0
46901,1,0,1,0.0
47115,1,0,1,0.0
47175,2,2,0,1.0
47226,1,1,0,1.0
47246,7,7,0,1.0
47471,13,12,1,0.9230769230769231
47505,1,0,1,0.0
47575,2,2,0,1.0
47603,1,0,1,0.0
47714,3,3,0,1.0
47769,1,1,0,1.0
47981,1,1,0,1.0
48010,1,1,0,1.0
48037,1,1,0,1.0
48039,2,0,2,0.0
48333,3,2,1,0.6666666666666666
48421,2,2,0,1.0
48475,1,1,0,1.0
48587,1,1,0,1.0
48624,1,1,0,1.0
48744,2,0,2,0.0
48782,1,1,0,1.0
49118,1,1,0,1.0
49223,1,1,0,1.0
49540,1,1,0,1.0
49551,2,1,1,0.5
49715,1,1,0,1.0
49887,1,1,0,1.0
49924,2,2,0,1.0
49976,109,82,27,0.7522935779816514
49995,2,2,0,1.0
50070,4,4,0,1.0
50257,1,1,0,1.0
50267,3,3,0,1.0
50334,1,1,0,1.0
50362,2,1,1,0.5
50820,1,1,0,1.0
50879,1,1,0,1.0
50896,1,1,0,1.0
50920,3,1,2,0.3333333333333333
50945,10,10,0,1.0
51008,3,3,0,1.0
51130,1,1,0,1.0
51181,1,1,0,1.0
51194,5,5,0,1.0
51399,1,1,0,1.0
51415,2,0,2,0.0
51445,1,1,0,1.0
51467,3,3,0,1.0
51521,3,3,0,1.0
51588,21,12,9,0.5714285714285714
51605,13,0,13,0.0
51888,1,0,1,0.0
51943,1,1,0,1.0
52038,3,3,0,1.0
52059,1,0,1,0.0
52146,2,0,2,0.0
52190,6,5,1,0.8333333333333334
52339,1,1,0,1.0
52447,2,2,0,1.0
52473,3,2,1,0.6666666666666666
52536,4,0,4,0.0
52580,2,1,1,0.5
52613,3,2,1,0.6666666666666666
52665,7,1,6,0.14285714285714285
52703,1,1,0,1.0
52717,1,0,1,0.0
52833,1,1,0,1.0
52938,1,1,0,1.0
52943,1,1,0,1.0
53033,1,1,0,1.0
53036,2,2,0,1.0
53370,4,4,0,1.0
53464,3,3,0,1.0
53820,2,2,0,1.0
53850,6,6,0,1.0
54012,1,1,0,1.0
54063,2,1,1,0.5
54136,1,0,1,0.0
54170,1,0,1,0.0
54258,29,29,0,1.0
54260,1,1,0,1.0
54363,1,0,1,0.0
54404,2,2,0,1.0
54465,8,3,5,0.375
54669,1,0,1,0.0
54731,59,26,33,0.4406779661016949
54957,1,1,0,1.0
55161,2,2,0,1.0
55162,2,2,0,1.0
55189,2,2,0,1.0
55190,1,1,0,1.0
55345,2,2,0,1.0
55418,9,8,1,0.8888888888888888
55428,4,0,4,0.0
55488,2,2,0,1.0
55553,1,1,0,1.0
55705,1,0,1,0.0
55839,5,5,0,1.0
55934,1,0,1,0.0
56017,1,1,0,1.0
56202,8,5,3,0.625
56232,1,0,1,0.0
56642,3,3,0,1.0
56656,1,1,0,1.0
56744,1,1,0,1.0
56863,7,2,5,0.2857142857142857
56877,1,1,0,1.0
56951,20,19,1,0.95
57125,1,1,0,1.0
57218,2,2,0,1.0
57258,1,1,0,1.0
57292,1,1,0,1.0
57305,2,1,1,0.5
57366,2,2,0,1.0
57660,1,0,1,0.0
57669,1,0,1,0.0
57771,4,4,0,1.0
57930,1,0,1,0.0
57942,4,1,3,0.25
57968,2,1,1,0.5
58020,1,1,0,1.0
58195,1,1,0,1.0
58299,1,1,0,1.0
58324,1,1,0,1.0
58352,2,2,0,1.0
58367,2,1,1,0.5
58382,1,0,1,0.0
58465,1,1,0,1.0
58869,6,6,0,1.0
58892,1,0,1,0.0
58994,4,0,4,0.0
58998,1,1,0,1.0
59047,1,1,0,1.0
59130,2,0,2,0.0
59466,3,3,0,1.0
59504,1,1,0,1.0
59536,1,1,0,1.0
60070,7,6,1,0.8571428571428571
60126,4,4,0,1.0
60302,22,21,1,0.9545454545454546
60324,1,1,0,1.0
60466,1,0,1,0.0
60588,1,1,0,1.0
60599,1,1,0,1.0
60623,1,1,0,1.0
60646,1,1,0,1.0
60662,24,24,0,1.0
60831,16,15,1,0.9375
60930,1,1,0,1.0
61024,1,0,1,0.0
61090,1,1,0,1.0
61225,1,1,0,1.0
61268,3,0,3,0.0
61368,1,1,0,1.0
61408,2,0,2,0.0
61417,1,1,0,1.0
61420,1,1,0,1.0
61463,5,1,4,0.2
61595,6,0,6,0.0
61746,2,1,1,0.5
61747,3,3,0,1.0
61807,1,1,0,1.0
61820,1,0,1,0.0
61990,2,2,0,1.0
62010,1,0,1,0.0
62047,1,1,0,1.0
62109,1,0,1,0.0
62192,4,2,2,0.5
62418,2,0,2,0.0
62431,1,1,0,1.0
62452,2,0,2,0.0
62508,2,2,0,1.0
62708,1,0,1,0.0
62805,1,0,1,0.0
62836,2,2,0,1.0
62847,2,2,0,1.0
62889,12,1,11,0.08333333333333333
62999,1,0,1,0.0
63172,1,0,1,0.0
63197,1,0,1,0.0
63270,11,6,5,0.5454545454545454
63465,1,1,0,1.0
63540,2,0,2,0.0
63849,1,0,1,0.0
63874,2,0,2,0.0
63889,4,4,0,1.0
63961,114,2,112,0.017543859649122806
64001,1,1,0,1.0
64031,1,0,1,0.0
64061,1,1,0,1.0
64191,68,8,60,0.11764705882352941
64262,2,1,1,0.5
64305,1,0,1,0.0
64370,1,0,1,0.0
64452,13,13,0,1.0
64466,1,1,0,1.0
64525,2,2,0,1.0
64609,1,1,0,1.0
64866,1,1,0,1.0
64981,1,1,0,1.0
65035,1,1,0,1.0
65070,1,0,1,0.0
65104,4,4,0,1.0
65279,21,16,5,0.7619047619047619
65354,1,1,0,1.0
65510,1,1,0,1.0
65610,9,8,1,0.8888888888888888
65679,1,0,1,0.0
65707,32,13,19,0.40625
65743,2,2,0,1.0
65753,13,13,0,1.0
65770,9,0,9,0.0
65803,1,1,0,1.0
66055,1,0,1,0.0
66325,1,1,0,1.0
66439,1,1,0,1.0
66742,1,1,0,1.0
66856,1,0,1,0.0
66982,2,1,1,0.5
67145,1,0,1,0.0
67182,1,1,0,1.0
67186,1,1,0,1.0
67273,2,0,2,0.0
67388,4,4,0,1.0
67434,12,5,7,0.4166666666666667
67517,2,1,1,0.5
67738,1,0,1,0.0
67824,1,1,0,1.0
67825,1,1,0,1.0
67855,11,11,0,1.0
67931,5,3,2,0.6
68066,1,1,0,1.0
68095,3,2,1,0.6666666666666666
68124,1,0,1,0.0
68128,1,0,1,0.0
68148,5,3,2,0.6
68240,6,6,0,1.0
68423,3,3,0,1.0
68678,1,1,0,1.0
68937,1,1,0,1.0
68958,1,1,0,1.0
69088,4,4,0,1.0
69101,3,0,3,0.0
69253,1,1,0,1.0
69279,1,1,0,1.0
69287,1,1,0,1.0
69498,23,23,0,1.0
69681,1,1,0,1.0
69722,6,6,0,1.0
69739,37,37,0,1.0
69896,2,2,0,1.0
69994,2,2,0,1.0
69996,1,1,0,1.0
70074,5,5,0,1.0
70081,7,4,3,0.5714285714285714
70100,9,3,6,0.3333333333333333
70200,5,0,5,0.0
70238,1,1,0,1.0
70592,2,1,1,0.5
70601,1,1,0,1.0
70683,1,0,1,0.0
71140,9,9,0,1.0
71253,3,3,0,1.0
71306,25,25,0,1.0
71374,47,15,32,0.3191489361702128
71418,1,1,0,1.0
71428,49,2,47,0.04081632653061224
71450,1,1,0,1.0
71561,3,2,1,0.6666666666666666
71595,2,2,0,1.0
71708,1,0,1,0.0
71904,2,0,2,0.0
71928,2,0,2,0.0
72035,1,1,0,1.0
72057,1,0,1,0.0
72122,10,5,5,0.5
72162,14,3,11,0.21428571428571427
72247,5,5,0,1.0
72373,1,0,1,0.0
72416,1,0,1,0.0
72517,3,3,0,1.0
72575,1,0,1,0.0
72678,1,0,1,0.0
72724,1,1,0,1.0
72773,2,2,0,1.0
72811,2,2,0,1.0
72878,6,6,0,1.0
72941,21,2,19,0.09523809523809523
73054,1,1,0,1.0
73202,1,0,1,0.0
73260,4,1,3,0.25
73492,2,0,2,0.0
73529,5,1,4,0.2
73651,3,3,0,1.0
73692,5,5,0,1.0
73808,2,1,1,0.5
73946,1,1,0,1.0
73947,1,0,1,0.0
73963,3,0,3,0.0
74275,6,6,0,1.0
74420,10,0,10,0.0
74525,2,0,2,0.0
74547,3,0,3,0.0
74582,1,0,1,0.0
74686,1,0,1,0.0
74910,2,2,0,1.0
74990,1,1,0,1.0
75011,1,0,1,0.0
75185,6,6,0,1.0
75271,6,6,0,1.0
75474,1,0,1,0.0
75718,2,0,2,0.0
75787,33,10,23,0.30303030303030304
75798,1,1,0,1.0
75801,2,1,1,0.5
75843,1,1,0,1.0
75870,3,3,0,1.0
76022,1,1,0,1.0
76192,5,0,5,0.0
76224,5,5,0,1.0
76227,46,26,20,0.5652173913043478
76241,3,0,3,0.0
76342,2,2,0,1.0
76361,2,2,0,1.0
76510,2,0,2,0.0
76570,2,0,2,0.0
76684,3,3,0,1.0
76706,75,74,1,0.9866666666666667
76840,2,1,1,0.5
76865,1,1,0,1.0
77224,16,6,10,0.375
77285,1,0,1,0.0
77364,4,0,4,0.0
77512,3,0,3,0.0
77678,1,1,0,1.0
77836,3,3,0,1.0
77845,7,2,5,0.2857142857142857
77987,2,2,0,1.0
78069,1,1,0,1.0
78081,1,0,1,0.0
78128,1,0,1,0.0
78180,1,0,1,0.0
78347,9,9,0,1.0
78515,6,6,0,1.0
78537,2,2,0,1.0
78996,2,2,0,1.0
79181,1,1,0,1.0
79247,6,4,2,0.6666666666666666
79493,3,3,0,1.0
79697,3,1,2,0.3333333333333333
79734,16,2,14,0.125
79761,14,3,11,0.21428571428571427
79786,8,6,2,0.75
79947,1,1,0,1.0
80020,3,0,3,0.0
80031,3,1,2,0.3333333333333333
80053,3,1,2,0.3333333333333333
80107,2,2,0,1.0
80117,1,1,0,1.0
80230,2,2,0,1.0
80373,7,7,0,1.0
80622,1,1,0,1.0
80692,1,0,1,0.0
80758,1,1,0,1.0
80896,1,0,1,0.0
80951,4,2,2,0.5
81458,1,0,1,0.0
81513,1,1,0,1.0
81570,1,0,1,0.0
81590,1,1,0,1.0
81705,9,7,2,0.7777777777777778
81721,3,0,3,0.0
81786,1,1,0,1.0
81793,2,2,0,1.0
82270,7,7,0,1.0
82338,8,2,6,0.25
82428,5,4,1,0.8
82586,7,2,5,0.2857142857142857
82745,1,1,0,1.0
82799,1,1,0,1.0
82815,1,1,0,1.0
82859,41,4,37,0.0975609756097561
83020,26,26,0,1.0
83133,1,0,1,0.0
83227,6,6,0,1.0
83384,5,1,4,0.2
83692,36,36,0,1.0
84216,3,3,0,1.0
84253,1,1,0,1.0
84506,1,0,1,0.0
84532,1,1,0,1.0
84560,14,14,0,1.0
84620,1,1,0,1.0
84665,1,1,0,1.0
84683,1,1,0,1.0
84725,1,0,1,0.0
84815,1,0,1,0.0
85105,18,6,12,0.3333333333333333
85259,2,2,0,1.0
85383,1,1,0,1.0
85394,1,1,0,1.0
85439,3,3,0,1.0
85688,17,17,0,1.0
86065,1,0,1,0.0
86161,6,1,5,0.16666666666666666
86239,1,1,0,1.0
86261,1,1,0,1.0
86362,1,0,1,0.0
86473,1,1,0,1.0
86482,8,8,0,1.0
86488,1,1,0,1.0
86585,1,0,1,0.0
86625,3,3,0,1.0
87009,19,18,1,0.9473684210526315
87033,2,2,0,1.0
87162,2,0,2,0.0
87169,1,1,0,1.0
87283,2,2,0,1.0
87627,5,5,0,1.0
87743,1,1,0,1.0
87957,1,1,0,1.0
87974,2,0,2,0.0
88082,1,0,1,0.0
88188,1,0,1,0.0
88217,1,1,0,1.0
88441,1,1,0,1.0
88452,70,70,0,1.0
88481,2,0,2,0.0
88487,2,2,0,1.0
88574,2,0,2,0.0
