EID,LSCOUNT,LAWAMOUNT
132697,21,1819000
132871,6,12612500
132943,3,2361000
132986,1,5500
133100,4,784000
133259,1,300300
133278,1,313300
133280,2,6671000
133689,3,684900
133723,3,41800
133782,1,99400
133863,1,35800
133873,8,448700
133875,1,11100
133901,1,1534700
134089,2,764900
134154,8,525200
134238,2,2017600
134252,1,62200
134380,2,10000
134433,2,8052000
134452,1,10900
134608,4,507700
134737,1,0
135125,1,84100
135153,1,28700
135158,2,75600
135209,1,7780600
135747,3,144900
135844,1,431200
135845,4,252000
136019,2,250300
136020,1,348000
136146,5,657400
136153,3,2000000
136300,6,281400
136417,2,46400
136430,2,218400
136492,235,4633100
136668,2,356600
136846,2,10600
136893,8,483493200
136999,1,20600
137096,2,82600
137119,3,42600
137229,1,1071500
137506,7,100400
137546,2,120600
137562,1,20000
137761,2,61200
137969,3,627400
138066,3,41908800
138076,1,10400
138157,1,6535700
138183,1,4500
138327,1,863600
138364,5,880600
138378,1,0
138409,84,25374100
138434,17,991100
138618,7,6460400
138844,1,495400
138896,2,22000
138971,4,1762500
139056,1,3000
139079,10,126600
139250,2,2104300
139252,1,60000
139270,1,24200
139276,1,234600
139346,1,0
139393,3,72765800
139476,2,100400
139927,2,12800
140004,1,250000
140054,4,70300
140078,3,13922900
140091,2,82000
140230,1,2578200
140255,1,5600
140350,1,66000
140430,2,180500
140456,1,40175000
140504,1,998700
140648,2,121400
140772,1,700000
140843,1,686200
140866,3,96000
141009,1,4000
141013,2,2963800
141125,2,797700
141184,3,40300
141216,3,201200
141249,1,24800
141418,1,617500
141519,2,4197900
141522,2,48800
141591,2,39400
141703,10,56400
141709,2,1300
141889,3,65500
141947,4,208800
141966,2,115400
142045,2,33600
142115,1,14800
142224,10,465400
142234,1,7000
142269,3,18300
142352,2,362200
142392,6,119400
142508,3,12547300
142513,2,2280000
142719,1,21600
142830,2,122600
142895,1,10400
143026,2,2764000
143144,1,30800
143380,1,4600
143400,2,2608400
143639,14,1788300
143653,1,12800
143768,1,0
143787,1,20000
143842,1,114000
143878,7,24524300
143901,8,423700
143935,1,674400
144254,6,2621200
144316,5,501800
144321,28,2317500
144402,2,16600
144404,6,39699500
144438,3,326500
144529,1,39500
144767,1,4200
144986,1,998100
145006,2,25957400
145026,1,11300
145138,5,739400
145147,2,3000
145168,1,37300
145196,4,107200
145336,1,211000
145513,1,186700
145534,1,15000
145588,15,83086500
145675,1,30000
145778,6,110900
145853,8,17974600
146038,1,42100
146145,1,219400
146433,3,4919600
146505,1,2856600
146541,1,20400
146734,6,199400
146765,13,234800
146850,3,271200
147078,2,146800
147113,2,6392600
147122,3,298800
147193,1,127200
147204,3,14234700
147302,1,7000
147316,3,3600000
147501,5,7300
147859,1,500000
147878,2,12400
147932,1,20300
148030,1,19000
148077,13,270200
148128,1,1880000
148344,3,12100
148394,1,12900
148529,2,420000
148634,2,22404500
148648,11,165700
148669,1,5000
148799,18,212900
148873,4,714000
148931,2,75200
149051,1,7200
149253,1,5400
149322,1,12000
149375,2,13600
149563,2,27400
149566,1,20000
149761,1,1925100
149943,2,0
150123,1,300
150255,1,1619500
150373,22,106100
150447,2,325400
150544,6,14988000
150695,5,85300
151002,3,3477300
151059,3,34800
151124,2,102200
151140,6,15213900
151191,5,200878100
151314,1,6000
151363,1,70000
151420,6,6175400
151440,18,5021700
151495,2,14300
151594,3,107200
151631,4,84000
151690,2,190600
151742,1,0
151782,1,5600
151866,3,5600000
151873,29,17588900
151914,1,47400
152159,6,23860900
152413,6,103700
152453,2,11900
152520,3,13888000
152535,1,63200
152736,2,61600
152973,2,10111000
153013,3,122700
153028,1,1293700
153074,20,4294700
153092,2,10000
153248,1,2463500
153257,5,84200
153341,2,357400
153492,2,317000
153510,2,99200
153580,2,100800
153649,6,0
153670,1,4000
153671,2,75000
153907,2,1222200
153936,16,1276200
153938,3,1054100
153979,1,0
154015,3,133100
154064,4,315000
154108,2,30000
154272,1,192300
154414,1,0
154574,20,9414700
154620,1,83900
154686,3,635400
154713,2,14000
154752,3,12300
154965,8,5013200
155108,2,257000
155343,4,135000
155470,1,14000000
155481,1,0
155611,1,0
155766,1,12200
155848,1,1200
155854,2,30000
155877,1,61300
155955,2,50000
156045,1,71200
156218,2,78400
156272,1,1400000
156311,4,160400
156426,5,6812900
156516,1,152061400
156544,1,20000
156578,1,31300
156595,3,195600
156756,13,286900
156832,2,54300
156856,7,117800
156878,1,25600
156884,3,72300
156997,2,12300
157007,1,1393000
157206,7,2246100
157419,1,31000
157524,1,38200
157544,2,28500
157626,2,38200
157666,2,181800
157757,1,2000000
157773,3,607100
157778,2,40000
157843,6,15981300
157854,2,20000
158057,1,487200
158064,2,264600
158186,9,102200
158188,1,3000000
158226,4,262100
158301,5,3500000
158361,1,500
158394,1,170000
158506,1,30700
158585,2,481900
158606,2,205800
158856,2,34100
159063,1,20300
159155,1,101200
159243,1,4387200
159249,1,104700
159356,1,7500
159407,1,1014000
159460,7,55000
159536,2,3200000
159562,6,254320500
159579,2,5600
159590,2,0
159685,3,720000
159807,2,40000
160009,1,1200
160441,2,14851400
160580,2,3935200
160584,3,380700
160695,1,160000
160711,1,12100
160830,5,349700
160959,4,69800
160961,1,530300
161038,1,178000
161103,1,3100
161165,1,133600
161312,2,395900
161426,1,24100
161437,11,450200
161482,3,1710000
161521,7,217700
161622,1,362900
161976,2,49000
162053,1,1862900
162502,6,84700
162693,16,967000
162886,4,289600
162908,1,2900
162968,4,81700
162979,2,1594900
162990,1,5500
163083,2,0
163135,1,4500
163445,1,965100
163572,2,1020000
163587,35,58050100
163727,1,21200
163807,3,750200
163917,2,618000
164163,1,24900
164379,1,44100
164481,1,227600
164533,8,109000
164560,2,1114800
164603,3,1574300
164713,1,80300
164857,2,392400
164881,4,3058400
164922,1,3200
164961,13,13948500
164969,3,43410000
164978,2,2000
165074,2,293800
165079,18,78770800
165092,1,14100
165143,1,5500
165357,6,189700
165373,1,43100
165439,2,400000
165494,2,14459000
165576,39,296200
165709,9,86600
165793,2,600000
165850,20,54604600
165878,5,301800
166002,2,832800
166038,1,1006900
166147,1,30000
166160,3,306500
166250,1,255000
166432,2,111800
166503,1,260200
166668,1,138500
167048,21,656200
167050,1,9400
167077,2,48000
167082,1,28400
167410,3,202038400
167631,3,200000
167810,1,58600
167844,1,49000
167986,3,161700
168116,9,85000
168133,3,255100
168168,3,616000
168245,1,5056000
168368,3,182030100
168420,3,604000
168430,1,135100
168440,63,447200
168537,1,86000
168587,2,3350000
168704,2,1000
168798,2,382700
168820,1,73300
169013,2,127128800
169074,1,800
169076,2,14000
169139,1,36800
169249,1,7000
169310,22,55939400
169598,7,108400
169665,1,349500
169737,2,3400
169741,2,65200
169810,1,3600
169988,1,13300
170384,4,2569700
170481,1,1157000
170538,4,618800
170561,1,1088400
170664,4,92500
170676,2,7600000
170719,116,43554000
170848,19,25202800
170857,2,36500
170925,1,13415000
170994,1,3800
171119,2,2402000
171179,149,2160900
171231,3,240000
171237,1,2000
171251,27,6318300
171399,1,419100
171624,3,4111200
171770,1,551900
171803,2,16000
171935,7,48000
172036,3,6300
172256,1,25900
172773,2,2027600
172836,1,1723600
172966,28,20400
173046,1,0
173181,1,17200
173247,3,873700
173367,3,367900
173372,1,20000
173393,12,2944200
173611,1,56900
173615,2,369400
173814,1,500000
173852,3,18690100
173896,2,428600
174040,1,140000
174221,1,813000
174244,5,444800
174500,1,0
174503,2,629200
174515,8,4828200
174520,1,0
174575,2,30300
174626,1,28000
174652,4,7644500
174830,4,1201000
174905,1,33000
175088,1,1900
175125,4,135300
175245,1,15000
175278,1,130000
175325,2,191600
175378,4,50700
175436,2,24900
175472,3,55800
175502,1,17600
175527,1,2041900
175669,4,36800
175737,2,128900
176328,2,435800
176534,3,45200
176769,2,112000
176817,1,16809700
176881,1,13800
176887,3,175800
176916,5,33500
177175,3,196600
177189,2,35100
177217,1,1200
177287,4,84600
177403,2,100
177786,2,9000
177846,5,50758100
177865,1,1800
177868,2,148000
178171,1,316700
178227,1,84300
178461,5,38400
178515,1,13000000
178602,5,99200
178719,9,605200
178737,1,31700
178839,2,800400
178844,2,22874200
178905,1,4000
178990,1,380000
179020,7,116900
179068,8,17155600
179269,1,35600
179375,3,186300
179453,1,28600
179491,2,252200
179639,2,13500
179649,7,24200
179888,2,135000
180022,2,2530300
180223,1,300000
180268,1,0
180375,22,6745600
180595,3,142700
180631,3,43400
180692,1,1500
180810,1,60000
180846,1,0
180866,19,75692400
180965,1,1073900
181034,1,60200
181086,4,97100
181091,1,140200
181204,1,23000
181445,3,327600
181721,2,61356300
181877,3,63000
181937,2,12800
182099,24,37086800
182130,2,7800
182157,2,432600
182169,2,27000
182197,2,11600
182433,3,2435400
182514,18,35663800
182734,1,0
182785,1,1190000
182817,1,5700
182952,1,15000
183086,1,9000
183217,26,10964700
183277,4,1071200
183314,1,5800
183338,2,46400
183409,1,221300
183457,1,231100
183708,1,0
183816,3,22000000
183833,1,6214300
183850,5,80000
183922,21,31033500
184011,1,28600
184046,2,688400
184072,3,69000
184086,1,113600
184206,2,2251400
184216,1,647100
184351,2,139100
184444,1,605000
184477,1,110000
184565,2,489000
184630,1,349000
184634,2,240600
184688,2,740000
184731,3,161400
184833,1,11500
184966,5,156900
184975,17,434300
184997,2,157800
185038,1,3300
185253,1,3000000
185255,2,321300
185265,3,238800
185271,3,90400
185385,1,36000
185433,2,61000
185459,2,8800
185617,3,185900
185667,1,1000
185672,1,206200
185687,3,12000
185791,2,22400
185915,3,0
186152,1,400000
186203,1,18900
186212,1,197500
186419,2,174900
186525,1,3700
186793,18,1586200
186871,2,0
186894,1,60600
186913,1,20000
186920,1,1800
186926,12,4034700
186961,1,22000
186967,1,604500
187090,6,256500
187099,6,332800
187192,8,10542500
187274,2,41800
187390,1,351600
187410,13,13649200
187448,2,445800
187481,2,54200
187538,2,1000000
187571,1,14300
187630,1,280000
187685,1,14600
187933,2,86200
187971,1,64000
187993,1,118000
187996,3,57000
188140,6,500000
188193,3,2143400
188516,1,284600
188562,1,0
188630,1,50000
188676,6,246100
188753,1,22700
188821,1,441700
189196,2,167000
189205,2,168500
189278,2,120000
189319,2,0
189431,47,622800
189605,1,11200
189652,1,100000
189658,1,12700
189788,2,81200
189819,2,732300
189863,2,28800
189878,3,556800
189920,2,124300
189938,2,24000
190211,2,39700
190235,2,58600
190259,6,698600
190397,3,130300
190453,3,6287800
190538,1,85000
190702,7,259600
190984,2,21400
191025,2,2472000
191202,4,7683300
191359,2,89800
191420,1,240000
191546,2,80100
191602,1,1541700
191620,1,2300
191669,1,2400
191738,1,76400
191741,14,685284400
191875,2,3400
191880,4,41200
191985,1,757200
192115,1,9300
192165,2,159400
192289,2,904800
192359,1,30000
192380,2,0
192670,1,24700
193115,1,296500
193252,1,297800
193449,7,572900
193664,1,0
193694,60,17897800
193803,2,42800
193815,1,4339100
193911,1,19800
194194,5,177000
194790,1,3000
194875,2,60000
194950,1,0
195016,2,454600
195059,17,16172400
195061,2,75000
195245,6,287200
195256,1,3635600
195338,2,10381800
195427,16,13702300
195463,2,373800
195501,2,90400
195540,1,85000
195581,2,19300
195664,1,0
195675,2,10400
195758,1,34000
195778,1,6039000
195795,2,392600
195907,2,23200
195946,1,50500
196002,1,168600
196010,1,6400
196116,8,1532900
196248,1,91200
196261,1,101500
196332,4,1102800
196505,1,126900
196634,1,7100
196658,2,5004600
196784,1,76400
196810,1,69100
196853,2,373000
196957,2,34000
197012,1,1500
197062,2,308400
197250,3,233000
197440,2,12100
197605,3,52500
197609,4,360000
198014,3,38470900
198034,1,19700
198107,2,310800
198273,1,110700
198304,1,5000
198482,1,61600
198520,1,2200
198599,1,166200
198650,2,1269200
198802,3,47635400
199017,1,3000
199121,4,54900
199228,1,22100
199589,1,255300
199727,2,72000
199736,3,63100
199786,12,7159300
199960,3,161400
200016,1,0
200080,1,2131000
200133,1,200
200260,40,521200
200270,4,30000
200277,1,751900
200280,3,110000
200292,5,16050000
200616,18,256099200
200738,2,48400
200759,3,3962100
200946,1,70314800
200969,1,450000
201035,1,220500
201139,6,260400
201178,14,54533100
201213,3,10800
201291,3,1735800
201340,2,2800
201475,1,9100
201490,2,1040000
201534,1,34100
201622,4,79700
201627,1,40000
201641,1,7000
201759,4,13282600
201962,1,4600
201985,2,90200
202406,2,215800
202628,2,15660600
202746,5,7263100
202756,2,7170000
202934,14,5198000
202967,3,8092400
202996,1,17700
203048,1,0
203098,5,109000
203297,21,2364100
203369,1,42500
203403,16,2846100
203417,1,3725000
203606,1,8000
203663,2,11000000
203710,2,20200
203712,1,50000
203758,14,207303600
203964,2,47600
203979,3,123600
204014,1,219300
204081,1,4400
204099,1,9500
204120,2,41400
204124,3,5577800
204141,1,18100
204213,2,836800
204224,2,138000
204259,1,879400
204564,6,119100
204619,12,1330100
204789,11,407400
204816,1,11798000
204903,2,100515200
204923,8,491200
205240,1,7000
205387,62,27785000
205400,1,80900
205426,2,1008000
205444,19,3126200
205527,4,1542000
205568,1,254000
205729,1,0
205761,3,110661600
205870,4,5614400
205949,2,19000
205993,3,13200
206076,1,21200
206185,3,1768800
206556,2,29600
206591,13,4399100
207129,2,60000
207275,2,21200
207435,2,28000
207564,1,5000
207584,2,200056000
207604,1,4000
207760,3,748400
207926,2,26352400
208168,1,0
208184,1,346000
208192,4,586700
208280,1,71400
208336,1,31200
208501,5,246200
208547,1,75000
208555,1,88000
208608,1,86100
208667,1,439600
208675,1,0
208677,26,56028600
208760,1,30000
208808,27,288600
208870,9,717400
208939,4,5322400
209066,1,31900
209122,2,412800
209144,3,500000
209166,1,1105200
209442,1,50000
209589,7,852900
209704,112,1938700
209868,3,16900
209870,2,4256800
209954,1,2000000
209975,3,51000
210023,2,1074000
210136,1,29800
210214,1,84000
210217,2,46000
210236,1,26100
210338,52,665800
210390,3,876000
210440,1,350000
210515,1,18000
210529,1,40400
210555,1,1400000
210582,14,110600
210983,1,0
210998,1,19700
211130,1,154000
211155,6,1315500
211301,1,128900
211667,2,60000
211893,4,30000
212036,2,4287600
212187,1,158200
212332,2,28200
212342,2,0
212375,1,17677800
212560,1,199100
212638,3,2809200
212800,7,482600
212827,6,418500
212895,7,5250500
212929,2,1008000
213067,2,14545000
213142,6,121200
213145,2,13100
213232,3,744600
213275,1,238000
213309,1,11500
213376,2,41800
213381,2,96200
213384,1,43000
213401,3,826500
213410,3,3481600
213477,1,7500
213603,25,344680000
213751,1,0
213936,3,31200
213990,3,60000
214048,38,7398100
214080,4,233400
214119,9,172900
214300,1,1018800
214391,3,1706100
214492,4,138800
214508,2,2172200
214760,1,11800
214827,1,131900
215164,2,83700
215342,1,18200
215538,1,13800
215887,1,5000
215888,1,235300
215892,2,440000
215916,2,66800
216002,8,4764000
216021,3,13800
216081,3,127800
216125,1,0
216129,3,135000
216199,1,162600
216293,11,7426200
216365,1,0
216376,1,7000
216452,14,7046300
216479,1,814300
216577,2,7466600
216809,3,148800
216901,1,8200
216953,3,259200
216957,9,3801900
217196,12,208900
217253,2,345900
217341,1,66600
217385,15,647800
217431,1,0
217437,3,1828500
217488,11,13500
217536,2,69200
217621,211,2030000
217716,1,14600
217754,1,5300
217841,2,25400
217985,1,24000
218012,2,23400
218078,1,61300
218139,7,20000000
218212,3,193300
218326,2,53200
218395,2,117000
218466,6,5691300
218549,2,112900
218574,2,1070400
218582,1,7000
218654,2,412600
218671,1,22969200
218779,1,54500
218855,6,375400
218889,6,838200
218999,12,13335500
219014,2,2433800
219145,18,450600
219305,1,6000
219350,1,7200
219351,2,71000
219416,12,22673500
219458,17,22516000
219464,1,2200
219525,3,1062900
219863,1,22800
219998,11,17190300
220062,2,9519200
220079,2,40400
220166,2,195300
220352,4,16615600
220416,4,24200
220536,1,96100
221017,2,1984800
221121,3,77800
221250,1,2200
221295,1,234300
221455,1,386200
221541,3,58365900
221600,2,58000
221605,1,5700
221793,1,125800
221800,2,551200
221934,2,214200
221964,3,289200
222199,38,238800
222200,3,81700
222286,7,2278800
222423,3,46200
222482,2,25600
222500,1,37500
222520,3,41500
222618,2,260662400
222694,103,4110600
222695,3,1960300
222714,2,1681600
222748,1,7000
222941,1,30600
223085,2,56807700
223088,1,1137000
223362,2,31707600
223427,3,760500
223486,1,27800
223550,3,72000
223581,1,8200
223792,2,1219500
223995,1,121500
224128,1,732300
224261,3,2278000
224268,2,24000
224340,1,95300
224487,1,0
224506,2,40000
224528,2,14418000
224547,1,353300
224576,2,163300
224721,5,162600
224726,1,102800
224860,2,208800
224903,4,400000
224941,1,2700700
225123,1,50600
225137,1,22516000
225177,1,6892600
225186,1,1000000
225229,1,17953700
225500,4,20000
225507,13,6402700
225629,1,783000
225657,1,41500
225803,1,7200
225870,1,205000
226044,1,213900
226281,1,57800
226286,1,74300
226422,1,532700
226438,1,230000
226688,1,5174100
226714,1,0
226721,2,132400
226761,6,38755900
226811,1,60300
226865,4,1776100
226868,2,0
226884,1,50400
227034,12,118079700
227114,6,2824800
227198,1,100
227510,3,129600
227521,1,10000
227907,3,70800
227994,1,12300
228025,6,103200
228042,9,9222000
228048,2,3174800
228056,2,105100
228144,4,153500
228162,1,73000
228163,1,59000
228239,4,63500
228372,1,945500
228493,3,237400
228494,1,7000
228496,3,208800
228585,2,550000
228720,3,734000
228733,1,20000
228805,1,148100
228899,2,90000
228941,1,171500
228957,5,436000
229068,5,141100
229119,4,140500
229148,2,187400
229331,1,0
229334,7,1507500
229510,2,12000
229680,2,10658500
229828,1,0
229884,4,665700
229910,1,262500
229948,2,27400
230198,2,302100
230220,2,3519800
230264,1,6000
230379,2,0
230516,1,2000
230625,1,214000
230718,2,98000
230722,1,30400
230838,19,23222800
230875,3,16180800
230907,1,25500
230932,7,481200
230977,1,160000
231091,4,524700
231138,1,2500
231343,4,22000
231417,2,16600
231500,3,124600
231607,11,1156200
231636,1,4800
231819,1,1450000
231844,3,2799900
231866,11,13999800
231986,4,1016300
232135,3,209900
232240,2,106800
232394,1,1378700
232422,3,114000
232788,2,32400
232802,1,7300
232809,1,3208900
232911,10,13251800
232951,5,213000
233219,2,39987200
233241,2,18900
233299,1,36800
233302,8,1506500
233344,3,1176300
233529,2,1109400
233534,6,224300
233543,2,1024400
233622,5,518500
233702,3,42000
233725,1,1690700
233826,2,1814600
233884,6,307700
233957,1,5400
234041,13,938600
234161,2,343400
234366,1,13700
234455,1,0
234676,8,7718200
234726,2,1200000
234820,2,22700
234901,28,1343900
235079,4,96200
235349,1,641300
235410,2,915000
235447,1,685300
235458,2,47200
235515,3,193000
235519,1,0
235545,2,88300
235588,2,0
235643,5,31000
235682,2,1334600
235930,2,603400
235992,16,350000
236107,1,4600
236196,3,2126800
236281,7,233700
236339,2,390000
236412,2,9000
236421,1,45000
236525,1,3280000
236808,2,0
236829,7,469900
236872,20,630100
236929,1,12000
237094,5,206800
237111,6,0
237173,4,3030000
237331,3,20800
237464,8,2106300
237731,1,50800
237815,2,0
237827,3,18061800
237949,2,1100000
237974,1,87800
238020,1,20419300
238106,1,500
238179,1,16600
238286,1,1641300
238298,4,607700
238352,10,14122600
238558,2,20000
238687,1,357600
238803,1,1000
238818,2,61600
238884,3,661500
238943,1,16000
238964,8,118584700
238981,1,154300
239176,1,800
239206,2,16000
239567,1,250000
239618,2,13400
239704,99,462300
239731,1,15000
239771,1,5700
239784,8,5766300
239804,11,223000
239854,1,24900
239858,6,1998800
240295,6,181200
240309,3,17200
240312,4,19607600
240399,3,478800
240474,1,400000
240489,1,407800
240555,1,15700
240646,2,15400
240754,1,131300
240858,1,3400
240882,2,107900
241002,1,23500
241023,1,20400
241357,3,941400
241443,3,774000
241545,2,711800
241552,1,5067600
241646,1,210000
241713,1,9000
241810,1,5800
241886,1,14200
242073,69,3032300
242082,9,350300
242223,5,78000
242330,2,2251400
242367,13,2919600
242418,2,40000
242517,4,695200
242603,1,77600
242731,1,200000
243034,2,3800
243357,3,355800
243489,3,1000800
243549,1,21000
243656,1,5800
243700,2,512400
243820,1,16400
243821,63,669400
243955,1,42400
243972,1,18600
243986,1,154000
244100,5,900000
244181,1,1300
244423,3,67500
244535,1,112200
244616,1,0
244639,1,4400
244668,3,314700
244730,2,10600
244743,4,37922800
244799,62,35890300
244834,2,56000
244846,3,1949800
245000,1,10000
245016,1,4345500
245054,8,166500
245143,4,9819400
245185,12,1728300
245243,2,3600
245284,8,2309300
245345,2,58000
245526,2,4000
245571,2,283800
245590,1,10000
245642,1,3500
245695,5,36216800
245704,2,13900
245739,1,7763500
245886,2,11000
246158,1,70000
246219,12,179000
246277,2,655800
246314,4,9773100
246342,1,1000
246426,2,384800
246451,2,109800
246481,1,94200
246533,6,1077000
246794,3,63100
246809,6,140000
246878,1,1200
246901,1,5900
247049,2,88700
247183,1,70600
247280,3,47000
247309,2,241400
247317,2,10800
247333,1,30000
247467,3,17900
247471,1,7870000
247483,1,7900
247515,2,3883300
247562,18,100739400
247824,1,150000
247875,3,71700
247916,1,21600
248081,1,2690800
248364,4,400000
248604,1,1800000
248710,3,394000
248729,3,365700
248778,2,0
248864,2,120000
248875,2,5400
248980,1,0
249058,10,64600
249115,6,197600
249131,3,19720000
249179,1,53700
249392,3,214800
249463,2,182000
249600,1,15100
249926,18,320000
249945,1,12900
249976,1,143300
250133,2,38000
250150,1,12000
250217,2,2003000
250346,2,658000
250537,2,364700
250600,3,198300
250718,1,23200
250753,1,3100
250755,2,92800
250760,2,769600
250846,1,10100
250942,1,13100
250967,1,9506700
251428,3,239000
251534,1,4900
251567,3,33000
251576,2,60100
251625,4,39600
251782,1,15000
251846,1,76800
251980,1,305700
251994,1,8000
252001,4,723200
252195,2,306100
252393,2,2290000
252399,1,411200
252409,13,61352300
252710,5,45770000
252745,3,13000
252776,2,1816200
252907,2,242400
253027,1,145000
253116,1,91700
253119,1,0
253207,1,127300
253221,5,26000
253322,4,6549400
253557,1,72300
253715,1,1214200
254084,2,0
254095,2,8547800
254307,4,1715700
254337,4,12430700
254357,3,13800
254369,1,198700
254388,1,0
254396,1,3000
254454,2,23000
254510,36,88796800
254533,2,564500
254709,2,38800
254795,1,35000
254814,75,33023000
255019,1,4700
255086,5,132200
255122,3,24900
255161,1,0
255410,1,509200
255656,1,60000
255682,4,13965700
255722,1,248000
255801,2,302000
255866,1,714900
255894,2,24600
255984,3,6079500
256015,2,119400
256021,2,0
256102,1,24900
256216,1,234700
256275,4,223200
256283,1,5300
256353,2,44151800
256378,1,19500
256434,16,602000
256437,2,32500
256501,3,0
256931,5,190200
256960,2,58000
257072,2,28900
257108,5,85000
257130,4,608500
257369,2,287600
257376,9,22029900
257386,1,77900
257399,4,688800
257637,1,55000
257646,2,596300
257656,1,13600
257815,1,9600
257858,3,893500
257964,1,102000
257996,3,350600
258137,2,256800
258561,3,209700
258585,7,25861800
258720,2,106400
258884,1,59100
258931,3,395100
259012,3,36300
259021,7,1313600
259065,1,300000
259129,1,21000
259204,2,158700
259226,8,1980800
259242,6,104000
259254,6,2361100
259343,5,246200
259356,2,2122400
259374,2,10200000
259502,1,32100
259853,6,391700
259998,2,202000
260070,1,4400
260093,1,14500
260117,2,158800
260199,1,20000
260236,12,3229600
260246,1,14100
260373,1,500
260446,4,340400
260470,2,536300
260578,1,8200
260584,1,0
260723,2,1200
